component,gradient,flat_index,epsilon,analytical,numerical,absolute_error,relative_error
Linear,input,0,9.9999999999999995e-07,0.55722993387314323,0.55722993386186914,1.127409277046354e-11,1.0116194487448521e-11
Linear,input,1,9.9999999999999995e-07,-0.54034670929877959,-0.54034670926572659,3.3053004777627848e-11,3.058499682688215e-11
Linear,input,2,9.9999999999999995e-07,-0.52651560654615459,-0.52651560655814222,1.1987633108390128e-11,1.1383929516249602e-11
Linear,input,3,9.9999999999999995e-07,0.28811061393464288,0.28811061392186588,1.2777001678898614e-11,2.2173778162300464e-11
Linear,input,4,9.9999999999999995e-07,-0.52251255577737499,-0.52251255577839828,1.0232925617970068e-12,9.7920380140299937e-13
Linear,input,5,9.9999999999999995e-07,-0.14073189452569304,-0.14073189447127987,5.4413168415479163e-11,1.9332209166012602e-10
Linear,weights,0,9.9999999999999995e-07,-1.2586985004369233,-1.2586985004281459,8.7774232326864876e-12,3.4867060021404037e-12
Linear,weights,1,9.9999999999999995e-07,1.2327926429840217,1.2327926429689384,1.5083267967952452e-11,6.117520271509367e-12
Linear,weights,2,9.9999999999999995e-07,-0.12920463155631287,-0.12920463154930673,7.0061456636238972e-12,2.7112594879233394e-11
Linear,weights,3,9.9999999999999995e-07,-0.17016529175338058,-0.17016529185731599,1.0393541582942589e-10,3.0539546204380322e-10
Linear,weights,4,9.9999999999999995e-07,0.44937115517662807,0.44937115528664862,1.1002054822739638e-10,1.2241612189225169e-10
Linear,weights,5,9.9999999999999995e-07,-0.24337827823737329,-0.24337827830844816,7.1074868213116815e-11,1.4601727959760125e-10
Linear,bias,0,9.9999999999999995e-07,1.0376789751287696,1.037678975079892,4.8877568659122517e-11,2.3551392016113773e-11
Linear,bias,1,9.9999999999999995e-07,-0.8354590264727435,-0.83545902640480563,6.7937877545887204e-11,4.0659012229168809e-11
Conv2D,input,0,0.001,0.8979299850264767,0.89789235449089233,3.7630535584365354e-05,2.0954486842211038e-05
Conv2D,input,1,0.001,2.7327888567025145,2.7327119818743029,7.6874828211614954e-05,1.406546819442675e-05
Conv2D,input,2,0.001,2.0451663409061802,2.0454855849614262,0.00031924405524597077,7.8042341668623091e-05
Conv2D,input,3,0.001,1.1393641337726148,1.139276928537214,8.7205235400844572e-05,3.827072058134762e-05
Conv2D,input,4,0.001,3.7457691283301671,3.7460989472428707,0.00032981891270367214,4.4023587892455646e-05
Conv2D,input,5,0.001,2.8740929747542228,2.8742071784755296,0.0001142037213068825,1.9867390056644093e-05
Conv2D,input,6,0.001,0.36142066727241468,0.36138037003397017,4.0297238444508832e-05,5.5751495037530522e-05
Conv2D,input,7,0.001,1.2786684143902971,1.2786937011153299,2.5286725032769297e-05,9.8878156047798318e-06
Conv2D,input,8,0.001,0.87229090129126929,0.87234856883178225,5.7667540512951199e-05,3.3054130380808044e-05
Conv2D,weights,0,0.001,3.4457953125017178,3.4457715248485954,2.3787653122386843e-05,3.4517046244788042e-06
Conv2D,weights,1,0.001,3.3994271755465046,3.398996006307442,0.00043116923906261206,6.342194763830973e-05
Conv2D,weights,2,0.001,3.9952030314482085,3.9951327760245903,7.025542361827064e-05,8.792549563757469e-06
Conv2D,weights,3,0.001,4.4794526404392245,4.4796186282027861,0.0001659877635615814,1.852734045576371e-05
Conv2D,bias,0,0.001,3.9866601092164911,3.9863711590903961,0.00028895012609497783,3.6240937276085444e-05
SoftmaxCrossEntropyLoss,logits,0,9.9999999999999995e-07,0.16879226889935819,0.16879226888422139,1.5136808473315e-11,4.4838571614375843e-11
SoftmaxCrossEntropyLoss,logits,1,9.9999999999999995e-07,0.1250443883108526,0.12504438828830899,2.2543605870950501e-11,9.0142413336217165e-11
SoftmaxCrossEntropyLoss,logits,2,9.9999999999999995e-07,-0.29383665721021079,-0.29383665717253038,3.76804143442655e-11,6.4117960475783864e-11
SoftmaxCrossEntropyLoss,logits,3,9.9999999999999995e-07,-0.33120773110064178,-0.33120773113015645,2.9514668486996243e-11,4.4556128547483641e-11
SoftmaxCrossEntropyLoss,logits,4,9.9999999999999995e-07,0.20616334278978921,0.2061633427863363,3.4529046288866994e-12,8.374196358555138e-12
SoftmaxCrossEntropyLoss,logits,5,9.9999999999999995e-07,0.12504438831085263,0.12504438828830899,2.2543633626526116e-11,9.0142524319108892e-11
